Name,Sex,Age,Pclass,Fate
Mr. Alexander Oskar Holverson,Male,31-60,1st Class,Died
Mr. Hanna Mamee,Male,18-30,3rd Class,Survived
Mr. Ernest Charles Cann,Male,18-30,3rd Class,Died
Miss. Augusta Maria Vander Planke,Female,18-30,3rd Class,Died
Miss. Jamila Nicola-Yarred,Female,17 & Below,3rd Class,Survived
Mrs. Johan (Johanna Persdotter Larsson) Ahlin,Female,31-60,3rd Class,Died
Mrs. William John Robert (Dorothy Ann Wonnacott) Turpin,Female,18-30,2nd Class,Died
Miss. Simonne Marie Anne Andree Laroche,Female,17 & Below,2nd Class,Survived
Miss. Margaret Delia Devaney,Female,18-30,3rd Class,Survived
Mr. William John Rogers,Male,18-30,3rd Class,Died
Mr. Denis Lennon,Male,18-30,3rd Class,Died
Miss. Bridget O'Driscoll,Female,18-30,3rd Class,Survived
Mr. Youssef Samaan,Male,17 & Below,3rd Class,Died
Mrs. Josef (Josefine Franchi) Arnold-Franchi,Female,18-30,3rd Class,Died
Master. Juha Niilo Panula,Male,17 & Below,3rd Class,Died
Mr. Richard Cater Nosworthy,Male,18-30,3rd Class,Died
Mrs. Henry Sleeper (Myna Haxtun) Harper,Female,31-60,1st Class,Survived
Mrs. Lizzie (Elizabeth Anne Wilkinson) Faunthorpe,Female,18-30,2nd Class,Survived
Mr. Engelhart Cornelius Ostby,Male,60 Above,1st Class,Died
Mr. Hugh Woolner,Male,31-60,1st Class,Survived
Miss. Emily Rugg,Female,18-30,2nd Class,Survived
Mr. Mansouer Novel,Male,18-30,3rd Class,Died
Miss. Constance Mirium West,Female,17 & Below,2nd Class,Survived
Master. William Frederick Goodwin,Male,17 & Below,3rd Class,Died
Mr. Orsen Sirayanian,Male,18-30,3rd Class,Died
Miss. Amelie Icard,Female,31-60,1st Class,Survived
Mr. Henry Birkhardt Harris,Male,31-60,1st Class,Died
Master. Harald Skoog,Male,17 & Below,3rd Class,Died
Mr. Albert A Stewart,Male,60 Above,1st Class,Died
Master. Gerios Moubarek,Male,17 & Below,3rd Class,Survived
Mrs. (Elizabeth Ramell) Nye,Female,18-30,2nd Class,Survived
Mr. Ernest James Crease,Male,18-30,3rd Class,Died
Miss. Erna Alexandra Andersson,Female,17 & Below,3rd Class,Survived
Mr. Vincenz Kink,Male,18-30,3rd Class,Died
Mr. Stephen Curnow Jenkin,Male,31-60,2nd Class,Died
Miss. Lillian Amy Goodwin,Female,17 & Below,3rd Class,Died
Mr. Ambrose Jr Hood,Male,18-30,2nd Class,Died
Mr. Apostolos Chronopoulos,Male,18-30,3rd Class,Died
Mr. Lee Bing,Male,31-60,3rd Class,Survived
Mr. Sigurd Hansen Moen,Male,18-30,3rd Class,Died
Mr. Ivan Staneff,Male,18-30,3rd Class,Died
Mr. Rahamin Haim Moutal,Male,18-30,3rd Class,Died
Master. Alden Gates Caldwell,Male,17 & Below,2nd Class,Survived
Miss. Elizabeth Dowdell,Female,18-30,3rd Class,Survived
Mr. Achille Waelens,Male,18-30,3rd Class,Died
Mr. Jan Baptist Sheerlinck,Male,18-30,3rd Class,Survived
Miss. Brigdet Delia McDermott,Female,31-60,3rd Class,Survived
Mr. Francisco M Carrau,Male,18-30,1st Class,Died
Miss. Bertha Ilett,Female,17 & Below,2nd Class,Survived
Mrs. Karl Alfred (Maria Mathilda Gustafsson) Backstrom,Female,31-60,3rd Class,Survived
Mr. William Neal Ford,Male,17 & Below,3rd Class,Died
Mr. Selman Francis Slocovski,Male,18-30,3rd Class,Died
Miss. Mabel Helen Fortune,Female,18-30,1st Class,Survived
Mr. Francesco Celotti,Male,18-30,3rd Class,Died
Mr. Emil Christmann,Male,18-30,3rd Class,Died
Mr. Paul Edvin Andreasson,Male,18-30,3rd Class,Died
Mr. Herbert Fuller Chaffee,Male,31-60,1st Class,Died
Mr. Bertram Frank Dean,Male,18-30,3rd Class,Died
Mr. Daniel Coxon,Male,31-60,3rd Class,Died
Mr. Charles Joseph Shorney,Male,18-30,3rd Class,Died
Mr. George B Goldschmidt,Male,60 Above,1st Class,Died
Mr. William Bertram Greenfield,Male,18-30,1st Class,Survived
Mrs. John T (Ada Julia Bone) Doling,Female,31-60,2nd Class,Survived
Mr. Sinai Kantor,Male,31-60,2nd Class,Died
Miss. Matilda Petranec,Female,18-30,3rd Class,Died
Mr. Pastcho Petroff,Male,18-30,3rd Class,Died
Mr. Richard Frasar White,Male,18-30,1st Class,Died
Mr. Gustaf Joel Johansson,Male,31-60,3rd Class,Died
Mr. Anders Vilhelm Gustafsson,Male,31-60,3rd Class,Died
Mr. Stoytcho Mionoff,Male,18-30,3rd Class,Died
Miss. Anna Kristine Salkjelsvik,Female,18-30,3rd Class,Survived
Mr. Albert Johan Moss,Male,18-30,3rd Class,Survived
Mr. Tido Rekic,Male,31-60,3rd Class,Died
Miss. Bertha Moran,Female,18-30,3rd Class,Survived
Mr. Walter Chamberlain Porter,Male,31-60,1st Class,Died
Miss. Hileni Zabour,Female,17 & Below,3rd Class,Died
Mr. David John Barton,Male,18-30,3rd Class,Died
Miss. Katriina Jussila,Female,18-30,3rd Class,Died
Miss. Malake Attalah,Female,17 & Below,3rd Class,Died
Mr. Edvard Pekoniemi,Male,18-30,3rd Class,Died
Mr. Patrick Connors,Male,60 Above,3rd Class,Died
Mr. William John Robert Turpin,Male,18-30,2nd Class,Died
Mr. Quigg Edmond Baxter,Male,18-30,1st Class,Died
Miss. Ellis Anna Maria Andersson,Female,17 & Below,3rd Class,Died
Mr. Stanley George Hickman,Male,18-30,2nd Class,Died
Mr. Leonard Charles Moore,Male,18-30,3rd Class,Died
Mr. Nicholas Nasser,Male,31-60,2nd Class,Died
Miss. Susan Webber,Female,31-60,2nd Class,Survived
Mr. Percival Wayland White,Male,31-60,1st Class,Died
Master. Elias Nicola-Yarred,Male,17 & Below,3rd Class,Survived
Mr. Martin McMahon,Male,18-30,3rd Class,Died
Mr. Fridtjof Arne Madsen,Male,18-30,3rd Class,Survived
Miss. Anna Peter,Female,17 & Below,3rd Class,Survived
Mr. Johan Ekstrom,Male,31-60,3rd Class,Died
Mr. Jozef Drazenoic,Male,31-60,3rd Class,Died
Mr. Domingos Fernandeo Coelho,Male,18-30,3rd Class,Died
Mrs. Alexander A (Grace Charity Laury) Robins,Female,31-60,3rd Class,Died
Mrs. Leopold (Mathilde Francoise Pede) Weisz,Female,18-30,2nd Class,Survived
Mr. Samuel James Hayden Sobey,Male,18-30,2nd Class,Died
Mr. Emile Richard,Male,18-30,2nd Class,Died
Miss. Helen Monypeny Newsom,Female,18-30,1st Class,Survived
Mr. Jacques Heath Futrelle,Male,31-60,1st Class,Died
Mr. Olaf Elon Osen,Male,17 & Below,3rd Class,Died
Mr. Victor Giglio,Male,18-30,1st Class,Died
Mrs. Joseph (Sultana) Boulos,Female,31-60,3rd Class,Died
Miss. Anna Sofia Nysten,Female,18-30,3rd Class,Survived
Mrs. Pekka Pietari (Elin Matilda Dolck) Hakkarainen,Female,18-30,3rd Class,Survived
Mr. Jeremiah Burke,Male,18-30,3rd Class,Died
Mr. Edgardo Samuel Andrew,Male,18-30,2nd Class,Died
Mr. Joseph Charles Nicholls,Male,18-30,2nd Class,Died
Mr. August Edvard Andersson,Male,18-30,3rd Class,Survived
Miss. Robina Maggie Ford,Female,17 & Below,3rd Class,Died
Mr. Michel Navratil,Male,31-60,2nd Class,Died
Rev. Thomas Roussel Davids Byles,Male,31-60,2nd Class,Died
Rev. Robert James Bateman,Male,31-60,2nd Class,Died
Mrs. Thomas (Edith Wearne) Pears,Female,18-30,1st Class,Survived
Mr. Alfonzo Meo,Male,31-60,3rd Class,Died
Mr. Austin Blyler van Billiard,Male,31-60,3rd Class,Died
Mr. Ole Martin Olsen,Male,18-30,3rd Class,Died
Mr. Charles Duane Williams,Male,31-60,1st Class,Died
Miss. Katherine Gilnagh,Female,17 & Below,3rd Class,Survived
Mr. Harry Corn,Male,18-30,3rd Class,Died
Mr. Mile Smiljanic,Male,31-60,3rd Class,Died
Master. Thomas Henry Sage,Male,17 & Below,3rd Class,Died
Mr. John Hatfield Cribb,Male,31-60,3rd Class,Died
Mrs. James (Elizabeth Inglis Milne) Watt,Female,31-60,2nd Class,Survived
Mr. John Viktor Bengtsson,Male,18-30,3rd Class,Died
Mr. Jovo Calic,Male,17 & Below,3rd Class,Died
Master. Eino Viljami Panula,Male,17 & Below,3rd Class,Died
Master. Frank John William Goldsmith,Male,17 & Below,3rd Class,Survived
Mrs. (Edith Martha Bowerman) Chibnall,Female,31-60,1st Class,Survived
Mrs. William (Anna Bernhardina Karlsson) Skoog,Female,31-60,3rd Class,Died
Mr. John D Baumann,Male,31-60,1st Class,Died
Mr. Lee Ling,Male,18-30,3rd Class,Died
Mr. Wyckoff Van der hoef,Male,60 Above,1st Class,Died
Master. Arthur Rice,Male,17 & Below,3rd Class,Died
Miss. Eleanor Ileen Johnson,Female,17 & Below,3rd Class,Survived
Mr. Antti Wilhelm Sivola,Male,18-30,3rd Class,Died
Mr. James Clinch Smith,Male,31-60,1st Class,Died
Mr. Klas Albin Klasen,Male,18-30,3rd Class,Died
Master. Henry Forbes Lefebre,Male,17 & Below,3rd Class,Died
Miss. Ann Elizabeth Isham,Female,31-60,1st Class,Died
Mr. Reginald Hale,Male,18-30,2nd Class,Died
Mr. Lionel Leonard,Male,31-60,3rd Class,Died
Miss. Constance Gladys Sage,Female,17 & Below,3rd Class,Died
Mr. Rene Pernot,Male,31-60,2nd Class,Died
Master. Clarence Gustaf Hugo Asplund,Male,17 & Below,3rd Class,Died
Master. Richard F Becker,Male,17 & Below,2nd Class,Survived
Miss. Luise Gretchen Kink-Heilmann,Female,17 & Below,3rd Class,Survived
Mr. Hugh Roscoe Rood,Male,31-60,1st Class,Died
Mrs. Thomas (Johanna Godfrey) O'Brien,Female,18-30,3rd Class,Survived
Mr. Charles Hallace Romaine,Male,31-60,1st Class,Survived
Mr. John Bourke,Male,31-60,3rd Class,Died
Mr. Stjepan Turcin,Male,31-60,3rd Class,Died
Mrs. (Rosa) Pinsky,Female,31-60,2nd Class,Survived
Mr. William Carbines,Male,18-30,2nd Class,Died
Miss. Carla Christine Nielsine Andersen-Jensen,Female,18-30,3rd Class,Survived
Master. Michel M Navratil,Male,17 & Below,2nd Class,Survived
Mrs. James Joseph (Margaret Tobin) Brown,Female,31-60,1st Class,Survived
Miss. Elise Lurette,Female,31-60,1st Class,Survived
Mr. Robert Mernagh,Male,18-30,3rd Class,Died
Mr. Karl Siegwart Andreas Olsen,Male,31-60,3rd Class,Died
Miss. Margaret Madigan,Female,18-30,3rd Class,Survived
Miss. Henriette Yrois,Female,18-30,2nd Class,Died
Mr. Nestor Cyriel Vande Walle,Male,18-30,3rd Class,Died
Mr. Frederick Sage,Male,17 & Below,3rd Class,Died
Mr. Jakob Alfred Johanson,Male,31-60,3rd Class,Died
Mr. Gerious Youseff,Male,31-60,3rd Class,Died
Mr. Gurshon Cohen,Male,18-30,3rd Class,Survived
Miss. Telma Matilda Strom,Female,17 & Below,3rd Class,Died
Mr. Karl Alfred Backstrom,Male,31-60,3rd Class,Died
Mr. Nassef Cassem Albimona,Male,18-30,3rd Class,Survived
Miss. Helen Carr,Female,17 & Below,3rd Class,Survived
Mr. Henry Blank,Male,31-60,1st Class,Survived
Mr. Ahmed Ali,Male,18-30,3rd Class,Died
Miss. Clear Annie Cameron,Female,31-60,2nd Class,Survived
Mr. John Henry Perkin,Male,18-30,3rd Class,Died
Mr. Hans Kristensen Givard,Male,18-30,2nd Class,Died
Mr. Philip Kiernan,Male,18-30,3rd Class,Died
Miss. Madeleine Newell,Female,31-60,1st Class,Survived
Miss. Eliina Honkanen,Female,18-30,3rd Class,Survived
Mr. Sidney Samuel Jacobsohn,Male,31-60,2nd Class,Died
Miss. Albina Bazzani,Female,31-60,1st Class,Survived
Mr. Walter Harris,Male,18-30,2nd Class,Died
Mr. Victor Francis Sunderland,Male,17 & Below,3rd Class,Survived
Mr. James H Bracken,Male,18-30,2nd Class,Died
Mr. George Henry Green,Male,31-60,3rd Class,Died
Mr. Christo Nenkoff,Male,18-30,3rd Class,Died
Mr. Frederick Maxfield Hoyt,Male,31-60,1st Class,Survived
Mr. Karl Ivar Sven Berglund,Male,18-30,3rd Class,Died
Mr. William John Mellors,Male,18-30,2nd Class,Survived
Mr. John Hall Lovell,Male,18-30,3rd Class,Died
Mr. Arne Jonas Fahlstrom,Male,18-30,2nd Class,Died
Miss. Mathilde Lefebre,Female,17 & Below,3rd Class,Died
Mrs. Henry Birkhardt (Irene Wallach) Harris,Female,31-60,1st Class,Survived
Mr. Bengt Edvin Larsson,Male,18-30,3rd Class,Died
Mr. Ernst Adolf Sjostedt,Male,31-60,2nd Class,Died
Miss. Lillian Gertrud Asplund,Female,17 & Below,3rd Class,Survived
Mr. Robert William Norman Leyson,Male,18-30,2nd Class,Died
Miss. Alice Phoebe Harknett,Female,18-30,3rd Class,Died
Mr. Stephen Hold,Male,31-60,2nd Class,Died
Miss. Marjorie Collyer,Female,17 & Below,2nd Class,Survived
Mr. Frederick William Pengelly,Male,18-30,2nd Class,Died
Mr. George Henry Hunt,Male,31-60,2nd Class,Died
Miss. Thamine Zabour,Female,18-30,3rd Class,Died
Miss. Katherine Murphy,Female,18-30,3rd Class,Survived
Mr. Reginald Charles Coleridge,Male,18-30,2nd Class,Died
Mr. Matti Alexanteri Maenpaa,Male,18-30,3rd Class,Died
Mr. Sleiman Attalah,Male,18-30,3rd Class,Died
Dr. William Edward Minahan,Male,31-60,1st Class,Died
Miss. Agda Thorilda Viktoria Lindahl,Female,18-30,3rd Class,Died
Mrs. William (Anna) Hamalainen,Female,18-30,2nd Class,Survived
Mr. Richard Leonard Beckwith,Male,31-60,1st Class,Survived
Rev. Ernest Courtenay Carter,Male,31-60,2nd Class,Died
Mr. James George Reed,Male,18-30,3rd Class,Died
Mrs. Wilhelm (Elna Matilda Persson) Strom,Female,18-30,3rd Class,Died
Mr. William Thomas Stead,Male,60 Above,1st Class,Died
Mr. William Arthur Lobb,Male,18-30,3rd Class,Died
Mrs. Viktor (Helena Wilhelmina) Rosblom,Female,31-60,3rd Class,Died
Mrs. Darwis (Hanne Youssef Razi) Touma,Female,18-30,3rd Class,Survived
Mrs. Gertrude Maybelle Thorne,Female,31-60,1st Class,Survived
Miss. Gladys Cherry,Female,18-30,1st Class,Survived
Miss. Anna Ward,Female,31-60,1st Class,Survived
Mrs. (Lutie Davis) Parrish,Female,31-60,2nd Class,Survived
Master. Edvin Rojj Felix Asplund,Male,17 & Below,3rd Class,Survived
Mr. Emil Taussig,Male,31-60,1st Class,Died
Mr. William Harrison,Male,31-60,1st Class,Died
Miss. Delia Henry,Female,18-30,3rd Class,Died
Mr. David Reeves,Male,31-60,2nd Class,Died
Mr. Ernesti Arvid Panula,Male,17 & Below,3rd Class,Died
Mr. Ernst Ulrik Persson,Male,18-30,3rd Class,Survived
Mrs. William Thompson (Edith Junkins) Graham,Female,31-60,1st Class,Survived
Miss. Amelia Bissette,Female,31-60,1st Class,Survived
Mr. Alexander Cairns,Male,18-30,1st Class,Died
Mr. William Henry Tornquist,Male,18-30,3rd Class,Survived
Mrs. (Elizabeth Anne Maidment) Mellinger,Female,31-60,2nd Class,Survived
Mr. Charles H Natsch,Male,31-60,1st Class,Died
Miss. Hanora Healy,Female,31-60,3rd Class,Survived
Miss. Kornelia Theodosia Andrews,Female,60 Above,1st Class,Survived
Miss. Augusta Charlotta Lindblom,Female,31-60,3rd Class,Died
Mr. Francis Parkes,Male,18-30,2nd Class,Died
Master. Eric Rice,Male,17 & Below,3rd Class,Died
Mrs. Stanton (Rosa Hunt) Abbott,Female,31-60,3rd Class,Survived
Mr. Frank Duane,Male,60 Above,3rd Class,Died
Mr. Nils Johan Goransson Olsson,Male,18-30,3rd Class,Died
Mr. Alfons de Pelsmaeker,Male,17 & Below,3rd Class,Died
Mr. Edward Arthur Dorking,Male,18-30,3rd Class,Survived
Mr. Richard William Smith,Male,31-60,1st Class,Died
Mr. Ivan Stankovic,Male,31-60,3rd Class,Died
Mr. Theodore de Mulder,Male,18-30,3rd Class,Survived
Mr. Penko Naidenoff,Male,18-30,3rd Class,Died
Mr. Masabumi Hosono,Male,31-60,2nd Class,Survived
Miss. Kate Connolly,Female,18-30,3rd Class,Survived
Miss. Ellen Barber,Female,18-30,1st Class,Survived
Mrs. Dickinson H (Helen Walton) Bishop,Female,18-30,1st Class,Survived
Mr. Rene Jacques Levy,Male,31-60,2nd Class,Died
Miss. Aloisia Haas,Female,18-30,3rd Class,Died
Mr. Ivan Mineff,Male,18-30,3rd Class,Died
Mr. Ervin G Lewy,Male,18-30,1st Class,Died
Mr. Mansour Hanna,Male,18-30,3rd Class,Died
Miss. Helen Loraine Allison,Female,17 & Below,1st Class,Died
Mr. Adolphe Saalfeld,Male,31-60,1st Class,Survived
Mrs. James (Helene DeLaudeniere Chaput) Baxter,Female,31-60,1st Class,Survived
Miss. Anna Katherine Kelly,Female,18-30,3rd Class,Survived
Mr. Bernard McCoy,Male,18-30,3rd Class,Survived
Mr. William Cahoone Jr Johnson,Male,18-30,3rd Class,Died
Miss. Nora A Keane,Female,31-60,2nd Class,Survived
Mr. Howard Hugh Williams,Male,18-30,3rd Class,Died
Master. Hudson Trevor Allison,Male,17 & Below,1st Class,Survived
Miss. Margaret Fleming,Female,31-60,1st Class,Survived
Mrs. Victor de Satode (Maria Josefa Perez de Soto y Vallejo) Penasco y Castellana,Female,17 & Below,1st Class,Survived
Mr. Samuel Abelson,Male,18-30,2nd Class,Died
Miss. Laura Mabel Francatelli,Female,18-30,1st Class,Survived
Miss. Margaret Bechstein Hays,Female,18-30,1st Class,Survived
Miss. Emily Borie Ryerson,Female,18-30,1st Class,Survived
Mrs. William (Anna Sylfven) Lahtinen,Female,18-30,2nd Class,Died
Mr. Ignjac Hendekovic,Male,18-30,3rd Class,Died
Mr. Benjamin Hart,Male,31-60,2nd Class,Died
Miss. Helmina Josefina Nilsson,Female,18-30,3rd Class,Survived
Mrs. Sinai (Miriam Sternin) Kantor,Female,18-30,2nd Class,Survived
Dr. Ernest Moraweck,Male,31-60,2nd Class,Died
Miss. Mary Natalie Wick,Female,31-60,1st Class,Survived
Mrs. Frederic Oakley (Margaretta Corning Stone) Spedden,Female,31-60,1st Class,Survived
Mr. Samuel Dennis,Male,18-30,3rd Class,Died
Mr. Yoto Danoff,Male,18-30,3rd Class,Died
Miss. Hilda Mary Slayter,Female,18-30,2nd Class,Survived
Mrs. Albert Francis (Sylvia Mae Harbaugh) Caldwell,Female,18-30,2nd Class,Survived
Mr. George John Jr Sage,Male,18-30,3rd Class,Died
Miss. Marie Grice Young,Female,31-60,1st Class,Survived
Mr. Johan Hansen Nysveen,Male,60 Above,3rd Class,Died
Mrs. (Ada E Hall) Ball,Female,31-60,2nd Class,Survived
Mrs. Frank John (Emily Alice Brown) Goldsmith,Female,31-60,3rd Class,Survived
Miss. Jean Gertrude Hippach,Female,17 & Below,1st Class,Survived
Miss. Agnes McCoy,Female,18-30,3rd Class,Survived
Mr. Austen Partner,Male,31-60,1st Class,Died
Mr. George Edward Graham,Male,31-60,1st Class,Died
Mr. Leo Edmondus Vander Planke,Male,17 & Below,3rd Class,Died
Mrs. Henry William (Clara Heinsheimer) Frauenthal,Female,31-60,1st Class,Survived
Mr. Mitto Denkoff,Male,18-30,3rd Class,Died
Mr. Thomas Clinton Pears,Male,18-30,1st Class,Died
Miss. Elizabeth Margaret Burns,Female,31-60,1st Class,Survived
Mr. Karl Edwart Dahl,Male,31-60,3rd Class,Survived
Mr. Stephen Weart Blackwell,Male,31-60,1st Class,Died
Master. Edmond Roger Navratil,Male,17 & Below,2nd Class,Survived
Miss. Alice Elizabeth Fortune,Female,18-30,1st Class,Survived
Mr. Erik Gustaf Collander,Male,18-30,2nd Class,Died
Mr. Charles Frederick Waddington Sedgwick,Male,18-30,2nd Class,Died
Mr. Stanley Hubert Fox,Male,31-60,2nd Class,Died
Miss. Amelia Brown,Female,18-30,2nd Class,Survived
Miss. Marion Elsie Smith,Female,31-60,2nd Class,Survived
Mrs. Thomas Henry (Mary E Finck) Davison,Female,31-60,3rd Class,Survived
Master. William Loch Coutts,Male,17 & Below,3rd Class,Survived
Mr. Jovan Dimic,Male,31-60,3rd Class,Died
Mr. Nils Martin Odahl,Male,18-30,3rd Class,Died
Mr. Fletcher Fellows Williams-Lambert,Male,31-60,1st Class,Died
Mr. Tannous Elias,Male,17 & Below,3rd Class,Died
Mr. Josef Arnold-Franchi,Male,18-30,3rd Class,Died
Mr. Wazli Yousif,Male,18-30,3rd Class,Died
Mr. Leo Peter Vanden Steen,Male,18-30,3rd Class,Died
Miss. Elsie Edith Bowerman,Female,18-30,1st Class,Survived
Miss. Annie Clemmer Funk,Female,31-60,2nd Class,Died
Miss. Mary McGovern,Female,18-30,3rd Class,Survived
Miss. Helen Mary Mockler,Female,18-30,3rd Class,Survived
Mr. Wilhelm Skoog,Male,31-60,3rd Class,Died
Mr. Sebastiano del Carlo,Male,18-30,2nd Class,Died
Mrs. (Catherine David) Barbara,Female,31-60,3rd Class,Died
Mr. Adola Asim,Male,31-60,3rd Class,Died
Mr. Thomas O'Brien,Male,18-30,3rd Class,Died
Mr. Mauritz Nils Martin Adahl,Male,18-30,3rd Class,Died
Mrs. Frank Manley (Anna Sophia Atkinson) Warren,Female,31-60,1st Class,Survived
Mrs. (Mantoura Boulos) Moussa,Female,31-60,3rd Class,Survived
Miss. Annie Jermyn,Female,18-30,3rd Class,Survived
Mme. Leontine Pauline Aubart,Female,18-30,1st Class,Survived
Mr. George Achilles Harder,Male,18-30,1st Class,Survived
Mr. Jakob Alfred Wiklund,Male,18-30,3rd Class,Died
Mr. William Thomas Beavan,Male,18-30,3rd Class,Died
Mr. Sante Ringhini,Male,18-30,1st Class,Died
Miss. Stina Viola Palsson,Female,17 & Below,3rd Class,Died
Mrs. Edgar Joseph (Leila Saks) Meyer,Female,18-30,1st Class,Survived
Miss. Aurora Adelia Landergren,Female,18-30,3rd Class,Survived
Mr. Harry Elkins Widener,Male,18-30,1st Class,Died
Mr. Tannous Betros,Male,18-30,3rd Class,Died
Mr. Karl Gideon Gustafsson,Male,18-30,3rd Class,Died
Miss. Rosalie Bidois,Female,31-60,1st Class,Survived
Miss. Maria Nakid,Female,17 & Below,3rd Class,Survived
Mr. Juho Tikkanen,Male,31-60,3rd Class,Died
Mrs. Alexander Oskar (Mary Aline Towner) Holverson,Female,31-60,1st Class,Survived
Mr. Vasil Plotcharsky,Male,18-30,3rd Class,Died
Mr. Charles Henry Davies,Male,18-30,2nd Class,Died
Master. Sidney Leonard Goodwin,Male,17 & Below,3rd Class,Died
Miss. Kate Buss,Female,31-60,2nd Class,Survived
Mr. Matthew Sadlier,Male,18-30,3rd Class,Died
Miss. Bertha Lehmann,Female,17 & Below,2nd Class,Survived
Mr. William Ernest Carter,Male,31-60,1st Class,Survived
Mr. Carl Olof Jansson,Male,18-30,3rd Class,Survived
Mr. Johan Birger Gustafsson,Male,18-30,3rd Class,Died
Miss. Marjorie Newell,Female,18-30,1st Class,Survived
Mrs. Hjalmar (Agnes Charlotta Bengtsson) Sandstrom,Female,18-30,3rd Class,Survived
Mr. Erik Johansson,Male,18-30,3rd Class,Died
Miss. Elina Olsson,Female,31-60,3rd Class,Died
Mr. Peter David McKane,Male,31-60,2nd Class,Died
Dr. Alfred Pain,Male,18-30,2nd Class,Died
Mrs. William H (Jessie L) Trout,Female,18-30,2nd Class,Survived
Mr. Juha Niskanen,Male,31-60,3rd Class,Survived
Mr. John Adams,Male,18-30,3rd Class,Died
Miss. Mari Aina Jussila,Female,18-30,3rd Class,Died
Mr. Pekka Pietari Hakkarainen,Male,18-30,3rd Class,Died
Miss. Marija Oreskovic,Female,18-30,3rd Class,Died
Mr. Shadrach Gale,Male,31-60,2nd Class,Died
Mr. Carl/Charles Peter Widegren,Male,31-60,3rd Class,Died
Master. William Rowe Richards,Male,17 & Below,2nd Class,Survived
Mr. Hans Martin Monsen Birkeland,Male,18-30,3rd Class,Died
Miss. Ida Lefebre,Female,17 & Below,3rd Class,Died
Mr. Todor Sdycoff,Male,31-60,3rd Class,Died
Mr. Henry Hart,Male,18-30,3rd Class,Died
Miss. Daisy E Minahan,Female,31-60,1st Class,Survived
Mr. Alfred Fleming Cunningham,Male,18-30,2nd Class,Died
Mr. Johan Julian Sundman,Male,31-60,3rd Class,Survived
Mrs. Thomas (Annie Louise Rowley) Meek,Female,31-60,3rd Class,Died
Mrs. James Vivian (Lulu Thorne Christian) Drew,Female,31-60,2nd Class,Survived
Miss. Lyyli Karoliina Silven,Female,18-30,2nd Class,Survived
Mr. William John Matthews,Male,18-30,2nd Class,Died
Miss. Catharina Van Impe,Female,17 & Below,3rd Class,Died
Mr. David Charters,Male,18-30,3rd Class,Died
Mr. Leo Zimmerman,Male,18-30,3rd Class,Died
Mrs. Ernst Gilbert (Anna Sigrid Maria Brogren) Danbom,Female,18-30,3rd Class,Died
Mr. Viktor Richard Rosblom,Male,18-30,3rd Class,Died
Mr. Phillippe Wiseman,Male,31-60,3rd Class,Died
Mrs. Charles V (Ada Maria Winfield) Clarke,Female,18-30,2nd Class,Survived
Miss. Kate Florence Phillips,Female,18-30,2nd Class,Survived
